"typ bufora","średni czas procesora","średni czas rzeczywisty","maksymalna porcja","bufor","ilość operacji","typ random"
"4-condition","85937477","77603435","2","20","120000","Thread-Local"
"3-lock","174999981","64517825","2","20","120000","Thread-Local"
"4-condition","103124976","94042132","3","20","120000","Thread-Local"
"3-lock","164062472","66696561","3","20","120000","Thread-Local"
"4-condition","134374986","131361916","4","20","120000","Thread-Local"
"3-lock","210937486","91011789","4","20","120000","Thread-Local"
"4-condition","187499980","167755535","5","20","120000","Thread-Local"
"3-lock","324999977","131039085","5","20","120000","Thread-Local"
"4-condition","231249983","204680881","6","20","120000","Thread-Local"
"3-lock","382812483","159002207","6","20","120000","Thread-Local"
"4-condition","240624987","231421283","7","20","120000","Thread-Local"
"3-lock","479687478","197511293","7","20","120000","Thread-Local"
"4-condition","260937482","243551984","8","20","120000","Thread-Local"
"3-lock","521874986","224039398","8","20","120000","Thread-Local"
"4-condition","256249985","259403226","9","20","120000","Thread-Local"
"3-lock","617187483","274766810","9","20","120000","Thread-Local"
